,n_lags,quantiles,n_changepoints,n_forecasts,learning_rate,ar_layers,ar_reg,changepoints_range,trend_reg,seasonality_mode,rmse
152,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,multiplicative,2.090942370891571
153,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,additive,1.6335671663284301
154,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,multiplicative,1.7242943882942199
155,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,additive,1.3536710619926453
156,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,multiplicative,1.9108369827270508
157,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,additive,0.9458393812179565
158,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,multiplicative,1.444002389907837
159,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,additive,1.4407243371009826
160,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,multiplicative,2.0052032351493834
161,52,"[0.025, 0.975]",25,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,additive,1.4962992668151855
162,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.0,0.05,0.0,multiplicative,1.359815287590027
163,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.0,0.05,0.0,additive,0.9241053223609924
164,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.0,0.05,0.05,multiplicative,1.2250089406967164
165,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.0,0.05,0.05,additive,1.3338899850845336
166,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.0,0.05,0.1,multiplicative,1.5989246606826781
167,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.0,0.05,0.1,additive,1.1931204438209533
168,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.5,0.05,0.0,multiplicative,1.5173824310302735
169,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.5,0.05,0.0,additive,0.9716977119445801
170,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.5,0.05,0.05,multiplicative,1.2683645486831665
171,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.5,0.05,0.05,additive,1.1160457611083985
172,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.5,0.05,0.1,multiplicative,1.1339530110359193
173,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",0.5,0.05,0.1,additive,1.1747726559638978
174,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",1.0,0.05,0.0,multiplicative,1.1258708119392395
175,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",1.0,0.05,0.0,additive,0.9499566078186035
176,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",1.0,0.05,0.05,multiplicative,1.1055722832679749
177,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",1.0,0.05,0.05,additive,1.047732937335968
178,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",1.0,0.05,0.1,multiplicative,1.1496844053268434
179,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32]",1.0,0.05,0.1,additive,1.0692386507987977
180,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,multiplicative,1.3189965844154359
181,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.0,additive,1.4897897005081178
182,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,multiplicative,1.1477006912231444
183,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.05,additive,1.140295922756195
184,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,multiplicative,0.9836763978004456
185,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.0,0.05,0.1,additive,1.05674489736557
186,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,multiplicative,1.8229680895805358
187,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.0,additive,1.1376329779624939
188,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,multiplicative,1.6813443541526794
189,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.05,additive,1.1170737862586975
190,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,multiplicative,1.3764606237411499
191,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",0.5,0.05,0.1,additive,1.1643303513526917
192,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,multiplicative,1.1783998131752014
193,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.0,additive,0.965897536277771
194,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,multiplicative,1.231394600868225
195,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.05,additive,1.6210279226303101
196,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,multiplicative,1.235936462879181
197,52,"[0.025, 0.975]",25,12,0.001,"[32, 32, 32, 32, 32]",1.0,0.05,0.1,additive,1.0384702324867248
198,52,"[0.025, 0.975]",25,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,multiplicative,1.9236488342285156
199,52,"[0.025, 0.975]",25,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,additive,0.9636636137962341
200,52,"[0.025, 0.975]",25,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,multiplicative,1.063661479949951
201,52,"[0.025, 0.975]",25,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,additive,1.6705131769180297
202,52,"[0.025, 0.975]",25,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,multiplicative,1.0536261916160583
203,52,"[0.025, 0.975]",25,12,0.001,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,additive,1.1378592610359193
